Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,AU26,Forward,Backward
0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.8,0,0,0,0,100,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
15.3,0,0,0,0,75,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
17.9,0,0,0,0,100,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
18.2,0,0,0,0,75,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
20.4,0,0,0,0,100,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
22.6,0,0,0,0,75,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
22.7,0,0,0,0,100,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
22.8,0,0,0,0,75,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
23.6,0,0,0,0,50,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,75,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
33.1,0,0,0,0,50,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
39.5,0,0,0,0,75,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
40.4,0,0,0,0,50,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,75,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
42.9,0,0,0,0,50,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,100,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
50.1,0,0,0,0,75,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
50.5,0,0,0,0,50,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
51.7,0,0,0,0,25,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
1.7,0,0,33.333,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
